排名,片名,累计票房,首日票房,首周票房,上映日期,产地,发行商
1,驯龙高手2,"40,331","3,504","16,657",8月14日,美国,二十世纪福斯
2,神偷奶爸2,"32,394","2,429","9,557",1月10日,美国,环球影业
3,冰雪奇缘,"29,841","1,703","8,752",2月5日,美国,华迪士尼影业
4,马达加斯加的企鹅,"25,321","1,180","7,234",11月14日,美国,二十世纪福斯
5,熊出没之夺宝熊兵,"24,809","3,200","10,151",1月17日,中国,卡通先生影业
6,里约大冒险2,"24,246","1,482","8,073",4月11日,美国,二十世纪福斯
7,天才眼镜狗,"12,164",756,"4,898",3月28日,美国,二十世纪福斯
8,十万个冷笑话,"11,988","1,182","8,347",12月31日,中国,万达影视
9,喜羊羊与灰太狼之飞马奇遇记,"8,624","1,400","4,644",1月16日,中国,华谊兄弟
10,赛尔号大电影4：圣魔之战,"6,233","1,091","3,949",7月10日,中国,北京光线影业
11,神秘世界历险记2,"6,196",906,"3,256",8月8日,中国,华夏电影
12,秦时明月之龙腾万里,"5,998","1,342","3,774",8月8日,中国,北京光线影业
13,神笔马良,"5,866",637,"2,991",7月25日,中国,中影集团
14,龙之谷：破晓奇兵,"5,741",716,"3,533",7月31日,中国,华夏电影
15,火鸡总动员,"4,997",335,"3,089",3月7日,美国,相对论传媒
16,潜艇总动员4：章鱼奇遇记,"4,912",354,"3,108",5月30日,中国,环球数码影视
17,洛克王国3：圣龙的守护,"4,787",875,"3,077",7月10日,中国,珠江影业
18,麦兜我和我妈妈,"4,440",780,"2,953",10月1日,中国大陆、香港,新华展望传媒
19,冰川时代2：融冰之灾,"4,416",250,"2,805",10月13日,美国,二十世纪福斯
20,猪猪侠之勇闯巨人岛,"4,365",738,"2,390",5月31日,中国,珠江影业
21,新大头儿子和小头爸爸之秘密计划,"4,245",219,"1,237",9月26日,中国,中影集团
22,斑马总动员,"3,957",347,"2,654",12月31日,南非,Cinema Management
23,抢劫坚果店,"3,638",178,"1,592",12月26日,加拿大、韩国、美国,Open Road Films
24,考拉大冒险,"2,893",640,"1,788",5月1日,韩国、美国,Lotte Cinema
25,昆虫总动员,"2,890",209,651,8月22日,法国、比利时,Le Pacte
26,开心超人2：启源星之战,"2,805",354,"1,642",7月18日,中国,明星创意动画
27,辛巴达历险记2,"2,596",182,"1,669",5月30日,中国,卡通先生影业
28,魁拔Ⅲ战神崛起,"2,508",675,"1,884",10月1日,中国,万达影视
29,极地大冒险2,"2,427",468,468,2月2日,芬兰、德国,Global Screen等
30,魔幻仙踪,"2,187",107,"1,239",5月30日,中国,安石英纳影视
31,81号农场之疯狂的麦咭,"1,879",360,"1,367",10月1日,中国,上影集团
32,丛林之王,"1,877",367,"1,273",8月21日,德国,康斯坦丁电影
33,白雪公主之矮人力量,"1,763",199,969,8月21日,中国,华夏电影
34,驯龙骑士,"1,198",149,858,3月28日,西班牙,索尼影视娱乐
35,龟兔再跑,"1,173",210,464,9月6日,中国,金逸影视
36,赞鸟历险记,"1,151",109,876,4月30日,南非,二十世纪福斯家庭娱乐
37,动物也疯狂,990,34,389,9月5日,印度,Applied Art
38,聪明的一休之反斗公主,804,63,603,4月30日,中国、日本,珠江影业
39,挑战者联盟,622,44,351,9月5日,阿根廷、西班牙,Félix Monti
40,拯救大明星,440,138,228,1月25日,英国、美国,韦恩斯坦影业
41,太空熊猫总动员,439,81,245,5月31日,中国,重庆保利万和
42,三小强,244,23,148,4月4日,中国,深圳环球数码
43,摩登森林之美食总动员,217,10,113,9月5日,中国,星乐伟业
44,我是狼之火龙山大冒险,208,25,67,5月31日,中国,银润传媒
45,喵星少年漂流记,171,21,92,9月26日,中国、日本,中影集团
46,十二生肖城市英雄,59,15,35,10月3日,中国,北京瑞盛太合
47,飞跃地心,32,8,14,8月9日,中国,中影集团
48,章鱼哥,24,2,16,7月4日,中国,禾木恩泽
49,神剑传奇,10,N/A,N/A,10月24日,中国,猎海数字
50,新地雷战：神勇小子,3,N/A,N/A,5月30日,中国,北京东方雅荷
51,森林孤影,3,N/A,N/A,9月12日,中国,上海盛星
52,西湖传奇,2,N/A,N/A,1月10日,中国,N/A
